2020-04-22 10:46:48,710 [AUDIT] Token created by 'jffe@000': tokenId='8942cc17-90f2-4319-a983-030e3182e160', issuer='jffe@000', subject='jffe@000', expiry=1587553008703, refreshable=false
2020-04-22 10:46:48,711 [AUDIT] Token created by 'jffe@000': tokenId='6724f616-0214-44dd-8413-c563605de880', issuer='jffe@000', subject='jffe@000', expiry=1587553008704, refreshable=false
2020-04-22 10:46:48,711 [AUDIT] Token created by 'jffe@000': tokenId='b23828fb-cb5b-41db-9d12-57588c36b9e3', issuer='jffe@000', subject='jffe@000', expiry=1587553008703, refreshable=false
2020-04-22 10:47:03,335 [AUDIT] Token refreshed by 'jffe@000': oldTokenId='0aefafd7-d343-4a42-8f75-61d32c805347', tokenId='24d7d254-9880-43de-aeb1-4c1b197c22d9', issuer='jffe@000', subject='admin', expiry=1587554223329, refreshable=true
2020-04-22 10:47:58,251 [AUDIT] Token created by 'jffe@000': tokenId='6b9c098b-4030-41eb-8402-4369c6d8b2cd', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1587553078250, refreshable=false
2020-04-22 10:56:48,745 [AUDIT] Token created by 'jffe@000': tokenId='26849c62-89b1-41e5-9bb2-e4cf8b2956b1', issuer='jffe@000', subject='jffe@000', expiry=1587553608740, refreshable=false
2020-04-22 10:56:48,748 [AUDIT] Token created by 'jffe@000': tokenId='c971d97e-722e-4ecf-bb8b-8438c37472d4', issuer='jffe@000', subject='jffe@000', expiry=1587553608741, refreshable=false
2020-04-22 10:56:48,754 [AUDIT] Token created by 'jffe@000': tokenId='758d7d1b-e8ee-48ee-9577-ec727ada533d', issuer='jffe@000', subject='jffe@000', expiry=1587553608742, refreshable=false
2020-04-22 10:56:48,802 [AUDIT] Token created by 'jffe@000': tokenId='eae0dc4b-78e3-4e7c-b1e3-0596b002e3d4', issuer='jffe@000', subject='jffe@000', expiry=1587553608744, refreshable=false
2020-04-22 10:57:58,298 [AUDIT] Token created by 'jffe@000': tokenId='e2e96f92-c5de-4ac7-bca7-943add39f67c', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1587553678293, refreshable=false
2020-04-24 13:44:16,629 [AUDIT] Token created by 'anonymous': tokenId='dcdaa1f5-642d-48be-9edb-97154d18835a', issuer='jfrou@01e6gkz5mj75e8whsva5r4rjc6', subject='jfrou@01e6gkz5mj75e8whsva5r4rjc6', expiry=none, refreshable=false
2020-04-24 13:44:21,512 [AUDIT] Token created by 'anonymous': tokenId='fe80bd72-c92b-4ef7-97f8-7352cfc88fc1', issuer='jfac@01e6gkyy91wa2f00f3fdsf0gme', subject='jfac@01e6gkyy91wa2f00f3fdsf0gme', expiry=1587735981507, refreshable=false
2020-04-24 13:44:21,936 [AUDIT] Token created by 'anonymous': tokenId='f551f496-b776-4a22-92b8-6cfcaa618191', issuer='jfmd@01e6gkz74qm614k82x689eq128', subject='jfmd@01e6gkz74qm614k82x689eq128', expiry=none, refreshable=false
2020-04-24 13:44:22,057 [AUDIT] Token created by 'anonymous': tokenId='d26248bb-742d-46ab-9637-b5f39ce65edc', issuer='jfrt@01e6gkzhtba2gz14rj5jrj009s', subject='jfrt@01e6gkzhtba2gz14rj5jrj009s', expiry=none, refreshable=false
