2020-05-08T16:43:38.807Z|3bb32cc96109a3f8|::ffff:127.0.0.1|admin|GET|/api/v1/ui/validations/name?name=panda|200|25|-|21.861|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:43:52.315Z|52c9ef31819d47c8|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|43.314|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:43:58.712Z|443da3b549065a9b|::ffff:127.0.0.1|admin|POST|/api/v1/ui/users|201|44|273|244.000|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:43:58.894Z|1f58d2563e29b759|::ffff:127.0.0.1|admin|GET|/api/v1/ui/users?jfLoader=true|200|-|-|124.762|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:43:59.270Z|390b7bf1c431c7cf|::ffff:127.0.0.1|admin|GET|/api/v1/ui/users?jfLoader=true|200|-|-|76.645|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:44:14.293Z|474b8472bf9701e4|::ffff:127.0.0.1|admin|GET|/api/v1/ui/groups?jfLoader=true|200|272|-|178.318|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:44:14.489Z|6a9abcfb6293b34d|::ffff:127.0.0.1|admin|GET|/api/v1/ui/admin/repositories/local/info|200|295|-|55.241|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:44:14.492Z|6e6192c1e725613a|::ffff:127.0.0.1|admin|GET|/api/v1/ui/admin/repositories/remote/info|200|168|-|54.272|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:44:14.522Z|3addefcfa360c658|::ffff:127.0.0.1|admin|GET|/api/v1/ui/admin/repositories/distribution/info|200|2|-|38.860|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:44:14.601Z|6f02a45866cb9956|::ffff:127.0.0.1|admin|GET|/api/v1/ui/users|200|-|-|104.535|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
2020-05-08T16:44:17.276Z|25089ad1312b878c|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|7.790|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0
